実質原系列(前年同期比),,,,,,,,,,,,,,,<参考>,,,,,,,,,,,,,(単位:％),,,,
"Real, Original Series (Year-over-Year Percent Change)",,,,,,,,,,,,,,,<cf>,,,,,,,,,,,,,(%),,,,
,国内総生産(支出側),民間最終消費支出,,,民間住宅,民間企業設備,民間在庫変動,政府最終消費支出,公的固定資本形成,公的在庫変動,財貨・サービス,,,,交易利得,国内総所得,海外からの所得,,,国民総所得,,国内需要,民間需要,公的需要,,総固定資本形成,,最終需要,,,,
,,,家計最終消費支出,,,,,,,,純輸出,輸出,輸入,,,,純受取,受取,支払,,,,,,,,,,,,,
,,,,除く持ち家の帰属家賃,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP(Expenditure Approach),PrivateConsumption,Consumption ofHouseholds,ExcludingImputed Rent,PrivateResidentialInvestment,Private Non-Resi.Investment,Changein PrivateInventories,GovernmentConsumption,PublicInvestment,Changein PublicInventories,Goods & Services,,,,TradingGains/Losses,GDI,Income from /to the Rest of the World,,,GNI,,DomesticDemand,PrivateDemand,PublicDemand,,Gross Fixed CapitalFormation,,Final Sales of Domestic Product,,,,
,,,,,,,,,,,Net Exports,Exports,Imports,,,,Net,Receipt,Payment,,,,,,,,,,,,,
4- 6.,-6.6 ,-1.5 ,-1.6 ,-2.2 ,-16.5 ,-13.5 ,***,2.2 ,10.8 ,***,***,-28.8 ,-18.1 ,,***,-4.6 ,***,-8.7 ,-32.1 ,-4.3 ,,-4.6 ,-6.9 ,3.6 ,,-10.0 ,,-4.9 ,,,,
7- 9.,-5.4 ,-0.3 ,-0.4 ,-0.7 ,-24.3 ,-14.6 ,***,3.3 ,9.6 ,***,***,-22.0 ,-13.8 ,,***,-3.1 ,***,-13.8 ,-29.9 ,-3.2 ,,-3.8 ,-6.2 ,4.5 ,,-12.2 ,,-4.2 ,,,,
10-12.,-1.7 ,1.8 ,1.8 ,1.9 ,-25.5 ,-12.2 ,***,3.0 ,10.4 ,***,***,-4.8 ,-13.7 ,,***,-1.2 ,***,-8.7 ,-30.6 ,-1.1 ,,-3.3 ,-5.7 ,4.7 ,,-9.6 ,,0.8 ,,,,
2010/ 1- 3.,4.4 ,2.7 ,2.6 ,2.9 ,-13.7 ,-5.7 ,***,1.8 ,7.1 ,***,***,35.1 ,5.8 ,,***,3.5 ,***,7.6 ,-10.5 ,3.7 ,,1.0 ,0.2 ,3.2 ,,-4.0 ,,4.0 ,,,,
4- 6.,3.5 ,2.3 ,2.3 ,2.5 ,-4.5 ,-2.1 ,***,2.2 ,-5.3 ,***,***,31.1 ,16.2 ,,***,2.6 ,***,3.8 ,9.5 ,2.5 ,,1.7 ,2.0 ,0.9 ,,-3.1 ,,2.9 ,,,,
7- 9.,5.6 ,3.4 ,3.4 ,3.9 ,3.8 ,1.7 ,***,1.6 ,-3.3 ,***,***,22.4 ,12.8 ,,***,4.9 ,***,11.0 ,4.3 ,5.2 ,,4.3 ,5.5 ,0.5 ,,0.9 ,,3.8 ,,,,
10-12.,3.0 ,0.9 ,0.9 ,0.8 ,11.1 ,3.0 ,***,1.9 ,-8.2 ,***,***,14.1 ,10.6 ,,***,2.4 ,***,14.8 ,21.3 ,2.6 ,,2.5 ,3.5 ,-0.6 ,,1.2 ,,1.7 ,,,,
2011/ 1- 3.,1.1 ,-1.3 ,-1.4 ,-1.9 ,9.1 ,4.9 ,***,3.4 ,-10.4 ,***,***,7.1 ,9.1 ,,***,0.1 ,***,9.0 ,9.0 ,0.4 ,,1.3 ,1.7 ,-0.2 ,,1.6 ,,0.2 ,,,,
4- 6.,-0.9 ,-1.0 ,-1.2 ,-1.7 ,5.6 ,1.5 ,***,1.9 ,-2.3 ,***,***,-5.0 ,3.3 ,,***,-2.2 ,***,9.9 ,-4.4 ,-1.7 ,,0.4 ,0.1 ,1.2 ,,1.4 ,,-1.1 ,,,,
7- 9.,-0.3 ,-1.1 ,-1.3 ,-1.7 ,8.8 ,2.3 ,***,1.9 ,-3.0 ,***,***,0.5 ,4.8 ,,***,-1.7 ,***,5.1 ,-0.0 ,-1.5 ,,0.3 ,0.0 ,1.1 ,,2.2 ,,-0.4 ,,,,
10-12.,0.2 ,1.2 ,1.0 ,1.0 ,4.2 ,6.9 ,***,1.7 ,-5.2 ,***,***,-2.7 ,5.8 ,,***,-1.1 ,***,-1.9 ,-3.9 ,-1.1 ,,1.4 ,1.8 ,0.2 ,,3.6 ,,0.6 ,,,,
2012/ 1- 3.,3.0 ,3.4 ,3.3 ,3.9 ,-0.7 ,4.8 ,***,2.3 ,1.5 ,***,***,1.4 ,6.7 ,,***,2.2 ,***,-6.5 ,-1.3 ,1.8 ,,3.8 ,4.4 ,2.1 ,,3.3 ,,2.4 ,,,,
4- 6.,2.8 ,2.8 ,2.7 ,3.0 ,3.2 ,6.3 ,***,1.4 ,0.4 ,***,***,9.2 ,9.2 ,,***,2.5 ,***,-1.3 ,12.7 ,2.2 ,,2.9 ,3.4 ,1.3 ,,4.7 ,,2.8 ,,,,
7- 9.,-0.1 ,1.0 ,0.9 ,0.8 ,1.1 ,2.8 ,***,1.3 ,2.6 ,***,***,-4.2 ,5.4 ,,***,0.0 ,***,-2.7 ,-0.7 ,-0.1 ,,1.4 ,1.3 ,1.6 ,,2.5 ,,-0.1 ,,,,
10-12.,-0.1 ,1.0 ,0.8 ,0.7 ,5.6 ,-1.2 ,***,1.7 ,3.3 ,***,***,-5.0 ,1.0 ,,***,0.0 ,***,7.5 ,15.1 ,0.1 ,,0.8 ,0.4 ,2.0 ,,0.9 ,,0.2 ,,,,
2013/ 1- 3.,0.0 ,2.1 ,2.0 ,2.1 ,8.1 ,-1.0 ,***,0.7 ,-1.6 ,***,***,-4.5 ,0.2 ,,***,0.0 ,***,14.4 ,21.6 ,0.4 ,,0.7 ,0.9 ,0.1 ,,0.1 ,,0.7 ,,,,
